abicher|a.ʃe
bolivares|bɔ.li.vaʁ.si.ɡaʁ
bonifiante|bɔ̃.ɑ̃t
bordeuse|bɔʁ.døz
bordisme|bɔʁ.dism
bordureuse|bɔʁ.dyʁ.ʁøz
bornologie|bɔ.lɔ.ʒi
borough|bɔʁ.ʁœf
boskoop|bɔs.
boucholeuse|bu.løz
bouchonnière|bu.ʃɔ̃.njɛʁ
bouddhologue|bu.lɔɡ
bouffir|bu.fi.fiʁ
bouillage|bu.jaʒ
bouletée|bu.te
bourgeoisiale|buʁ.ʒwa.sjal
bourrellement|bu.mɑ̃
bousculement|bus.ky.mɑ̃
bout-dehors|bu.də.ɔʁ
boutante|bu.tɑ̃t
boute-hors|bu.ɔʁ
brachiocéphalique|bʁa.kjo.se.fa.lik
branlage|bʁɑ̃.laʒ
braseuse|ze.zøz
bravement|bʁav.mɑ̃
bredele|bʁə.du.lə
brigadeiro|bʁi.ɡad.ʁo
briocher|bʁi.jo.ʃe
briqueteuse|bʁik.tøz
bronchioloalvéolaire|bʁɔ̃.al.ve.o.lɛʁ
bronchiteuse|bʁɔ̃.ʃit.tøz
bronchoconstriction|bʁɔ̃.kɔ.sjɔ̃
brouilleuse|bʁuj.jøz
brownienne|bʁɔ.njɛn
bruineuse|bʁɥin.nøz
brutisme|bʁy.tism
brévétoxine|bʁe.tɔk.sin
bucoliquement|by.kɔ.lik.mɑ̃
buissons-ardents|bɥi.sɔ̃.dɑ̃
bulb-keel|byl.
burgaudine|byʁ.ɡo.din
burineuse|by.ʁɛ̃.nøz
burkinabè|buʁ.
buronnière|by.ʁɔ̃.njɛʁ
buselure|byz.lyʁ
butanal|by.ta.nal
buxacée|by.se
bâtissable|bɑ.sabl
béatement|be.at.mɑ̃
bénéf|be.ne.ɛf
bépo|be.pus
bérimbau|be.bo
bêbête|bɛ.bɛt
bûchage|by.ʃaʒ
cP|se.
cSt|se.mɑ̃
cache-col|kaʃ.kɔl
cadenassage|kad.na.saʒ
calcitriol|kal.tʁjɔl
calcosodique|kal.dik
calière|kal.ljɛʁ
calvadosienne|kal.va.dos.sjɛn
camarine|ka.ma.ʁin
camionneuse|ka.mjɔ.nøz
camoufleur|kɑ̃.flœʁ
cancérophobie|kɑ̃.se.fɔ.bi
cancéropole|kɑ̃.se.pɔl
canoës-kayaks|ka.nɔ.e.
canyoniste|ka.ɲɔ.nist
caoutchoutière|ka.ut.ʃu.tjɛʁ
capacitiste|ka.tist
caproïque|ka.ik
capsicum|kap.kɔm
captieusement|kap.sjøz.mɑ̃
caractéristiquement|ka.ʁak.te.ʁis.tik.mɑ̃
caractérologique|ka.ʁak.te.lɔ.ʒik
carboxamide|kaʁ.bɔ.a.mid
carburière|kaʁ.by.ʁjɛʁ
carbutamide|kaʁ.by.a.mid
carcinose|kaʁ.si.noz
cardamone|kaʁ.da.mɔn
carfentanyl|kaʁ.be.ʁil
carpettière|kaʁ.tjɛʁ
carreautée|ka.ʁo.te
cartellaire|kaʁ.lɛʁ
carvacrol|kaʁ.ʁɔl
cary|kaʁ.ʁi
casquettière|kas.tjɛʁ
castrer|kas.tʁe
cataclysmale|ka.ta.al
catagenèse|ka.ta.ʒə.nɛz
cataméniale|ka.ta.njal
cathepsine|ka.ta.saɪn
catégoriale|ka.te.ɡɔ.tɔ.ʁjal
caudine|kaw.din
caveuse|kav.vøz
cd|se.
cedrela|se.la
cellobiose|se.bjoz
cellophaneuse|se.lɔ.fan.nøz
cellophanée|se.ne
cellulase|sɛ.ly.laz
celtisme|sɛl.tism
centipoise|sɑ̃.pwaz
centromérique|sɑ̃.me.ʁik
centésimale|sɑ̃.mal
cervicite|sɛʁ.vi.sit
cgr|flɑ̃.ɡaʁd
chaabi|ʃa.bi
chafiite|ʃa.it
chaloupement|ʃa.lup.mɑ̃
chamoiseuse|ʃɑ̃.wa.zøz
chanfreineuse|ʃɑ̃.fʁɛ̃.fʁɛ.nøz
chaosienne|ka.o.sjɛn
charlater|ʃaʁ.la.te
charte-partie|ʃaʁt.paʁ.ti
chartes-parties|ʃaʁt.ti
chawer|ʃa.vœʁ
chaîneuse|ʃɛn.nøz
check-list|ʃɛ.list
cheiroptère|ʃɛʁ.tɛʁ
chevau-léger|ʃə.ʒe
chevaucheuse|ʃə.ʃøz
chevillarde|ʃə.vi.jaʁd
chimiolithotrophe|ʃi.mjo.tʁɔf
chitosan|ki.sɑ̃
chloramine|klɔ.a.min
chlorobenzène|klɔ.ʁɔ.bɛ̃.zɛn
chlorpromazine|klɔ.a.zin
choanocyte|kɔ.sit
choisisseuse|ʃwa.søz
cholinestérasique|kɔ.lin.zik
cholécystotomie|kɔ.le.tɔ.mi
chondrichtyen|kɔ̃.jɛn
chondriosome|kɔ̃.zom
chondromatose|kɔ̃.dʁɔ.ma.toz
chorio-épithéliome|kɔ.ʁjɔ̃.liom
chorioméningite|kɔ.ʁjɔ̃.me.nɛ̃.ʒit
choux-navets|ʃu.vɛ
christocentrisme|kʁis.sɑ̃.tʁism
chronaxie|kʁɔ.nɔ.si
chronaxique|kʁɔ.nɔ.sik
chrysanthémique|kʁi.zɔ.mik
chrysothérapie|kʁi.zɔ.te.ʁa.pi
chrétien-démocrate|kʁe.de.mɔ.kʁat
chutney|ʃyt.nɛ
châtelperronienne|ʁɔ.njɛn
chèrement|ʃɛʁ.mɑ̃
chénodésoxycholique|ke.nɔ.lik
chétivement|ʃe.tiv.mɑ̃
ci-contre|si.kɔ̃tʁ
cinétisme|si.ne.tism
circ|siʁ.se
cisailleuse|si.zɑj.jøz
citernière|si.te.njɛʁ
citrus|si.tʁys
cit|si.mɑ̃
civiquement|si.vik.mɑ̃
cladocère|kla.sɛʁ
clausus|klo.sys
claveleuse|kla.løz
climatiquement|kli.ma.tik.mɑ̃
clinopyroxène|klɛ̃.pi.ʁɔk.sɛn
clinozoïsite|klɛ̃.zɔ.i.zit
cliveuse|kli.vøz
clomifène|klɔ.fɛn
clomiphène|klɔ.fɛn
clostridiale|klo.djal
clusiacée|se
cléchée|kle.ʃe
cnidocil|kni.sil
cnidocyste|kni.tɔ.sist
cnidosporidie|kni.di
coagglutination|kɔ.a.ɡy.za.sjɔ̃
cocaliser|kɔ.ka.li.ze
cocassement|kɔ.kas.mɑ̃
cochaîne|kɔ.ʃɛn
cocréancière|ko.sjɛʁ
codéveloppement|kɔ.de.mɑ̃
cogouvernance|nɑ̃s
cohomologique|ko.o.lɔ.ʒik
cold-cream|kɔl.42
coliqueuse|kɔ.lik.køz
collaborationnisme|kɔ.la.bɔ.ʁa.sjɔ̃.sjɔ.nism
collagraphie|kɔ.la.ɡʁa.fi
collenchyme|kɔl.ʃim
colossienne|kɔ.sjɛn
colzatière|kɔl.za.tjɛʁ
commettante|kɔ.tɑ̃t
commissurotomie|kɔ.mi.tɔ.mi
commuable|kɔ.abl
comourant|kɔm.mɑ̃
compatir|kɔ̃.pa.tiʁ
componctueuse|kɔ̃.po.ɔ̃k.tɥøz
conceptualité|kɔ̃.sɛp.tɥa.li.te
conciliarisme|kɔ̃.si.ta.ʁism
conciliatoire|kɔ̃.si.twaʁ
concordiste|kɔ̃.kɔʁ.kɔʁ.dist
condruzienne|kɔ̃.zjɛn
conductimétrie|kɔ̃.dyk.me.tʁi
conducto-convective|kɔ̃.dyk.tiv
conduiseuse|kɔ̃.dyk.zøz
confisquer|kɔ̃.ke
conjungo|kɔ̃.ʒy.ɡo
connétablie|kɔ.ne.bli
conobrer|kɔ̃.bʁe
conodale|kɔ̃.nɔ.dal
conormale|kɔ̃.nɔʁ.mal
conoyau|kɔ̃.nwa.jo
consulairement|kɔ̃.sy.lɛʁ.mɑ̃
contagieuse|kɔ̃.ta.li.ʒjøz
contenante|kɔ̃t.tə.nɑ̃t
contextualité|kɔ̃.tɛk.li.te
contragestif|kɔ̃.tif
contrebattre|kɔ̃tʁ.ʁǝ.batʁ
contumax|kɔ̃.maks
convolvulus|kɔ̃.vwa.my.lys
coqueleuse|kɔk.løz
corporativement|kɔʁ.pɔ.ʁa.tiv.tiv.mɑ̃
corrigeuse|kɔ.ʁi.ʒøz
corroyeuse|kɔ.ʁwa.jøz
corticospinale|kɔʁ.ti.kɔ.spi.nal
cosolvant|kɔs.mɑ̃
cotylédonée|kɔ.ti.le.dɔ̃.ne
court-vêtue|kuʁ.ty
covecteur|kɔ.tœʁ
covelline|kɔ.lin
coûtante|kut.tɑ̃t
craniectomie|kʁɑ̃.tɔ.mi
craniopharyngiome|kʁa.njɔ.ʒjɔm
criblière|kʁi.ljɛʁ
cristallogenèse|kʁis.ta.lɔ.ʒə.nɛz
croisetée|kʁwa.te
croissantière|kʁwa.sɑ̃.tjɛʁ
croissantée|kʁwa.sɑ̃.te
cromesquis|kʁɔ.ki
cromoglycate|kʁɔ.kat
croquine|kʁɔ.ki.kin
crossoptérygien|kʁɔs.ʁi.ʒjɛ̃
crwth|kʁe.aʃ
crédobaptisme|kʁe.di.ba.tism
créolisme|kʁe.ɔ.lism
créoliste|kʁe.ɔ.list
crépisseuse|kʁe.pi.pi.søz
cuisamment|kɥi.mɑ̃
cuiseuse|kɥi.zøz
culex|ky.plɛks
culinairement|ky.li.nɛʁ.mɑ̃
cuon|ky.ɔ̃
cupressinée|ky.ne
cyclage|si.klaʒ
cyclohexanone|si.klo.a.nɔn
cycloplégie|si.klo.lɔ.ʒi
cyclosporine|si.klo.ʁin
cyclotomie|si.klɔ.tɔ.mi
cyclène|si.lɛn
cyhalothrine|tʁin
cylindraxe|si.lɛ̃.aks
cymrique|sɛ̃.ʁik
cynodonte|si.nɔ.dɔ̃t
cyphoscoliose|si.skɔ.ljoz
cyprotérone|si.ʁɔn
cystostomie|sis.tɔs.tɔ.mi
cytobactériologique|lɔ.ʒik
cytochrome|si.tɔ.kʁom
cytodiérèse|si.tɔ.dje.ʁɛz
cytosolique|si.tɔ.sɔl.lik
cémentite|se.mɑ̃.tit
cézannienne|se.ma.njɛn
cœliochirurgie|se.ʃi.ʁyʁ.ʒi
cœlioscope|se.kɔp
cœlostat|se.ta
cœurse|kœʁ.sə
dB|de.
dantoniste|dɑ̃.nist
dast|da.st
datographe|da.ɡʁaf
dei|nɔ.ʁɛst
demi-sang|də.mi.sɑ̃
denteleuse|dɑ̃t.løz
dentinome|dɑ̃.nɔm
dermopharmacie|dɛʁ.mɔ.faʁ.ma.si
desmodontite|dɛs.tit
dessicant|de.si.ka.mɑ̃
dessus-de-porte|də.sy.pɔʁt
deutéronomique|dø.te.ʁɔ̃.nɔ.mik
dextrorsum|dɛk.sɔm
diacétylmorphine|dja.mɔʁ.fin
diamorphine|dja.mɔʁ.fin
diathermie|dja.tɛʁ.mi
diazane|dja.zan
diazoïque|dja.zɔ.ik
diazène|dja.zɛn
dibasique|di.zik
dicentra|di.tʁa
didot|di.dɔt
dimissoriale|di.mi.tɔ.ʁjal
diméthylmercure|di.me.mɛʁ.kyʁ
dinitration|di.za.sjɔ̃
dinitrile|di.tʁil
dinoflagellé|di.nɔ.le
dinornis|di.nɔ.nis
diodique|djɔ.dik
dione|djɔ.fɔn
dipneumonée|dip.ne
discompteuse|dis.kɔ̃t.kɔ̃.tøz
discounteur|dis.kunt.tœʁ
disilane|dis.si.lan
dismutase|dis.staz
disodique|dis.dik
dispatcheuse|dis.pa.ʃøz
dispersive|dis.pɛʁ.siv
disubstituée|dis.tɥe
dittographie|di.ɡʁa.fi
diédrale|dje.dʁal
djibser|dʒi.ze
dodécylsulfate|dɔ.de.ka.syl.fat
dominotée|mi.te
doucir|du.du.siʁ
doudouisme|du.du.dwism
doxorubicine|dɔk.sɔ.sin
doxycycline|dɔk.si.klin
dragline|dʁaɡ.lin
dragéiste|dʁa.ist
droitosphère|dʁwa.sfɛʁ
dry-farming|dʁaj.miŋ
ductus|dyk.tys
dysboulique|dis.ba.lik
dysendocrinie|di.ni
dysmorphophobique|dis.mɔʁ.fo.bik
dysorexie|dis.ʁɛk.si
dysrythmie|dis.ʁit.mi
dystrophine|dis.tʁɔ.fin
déactiver|de.ɑ̃.by.ti.ve
débandage|de.bɑ̃.daʒ
débarrasseuse|de.ba.ʁa.søz
débenzolage|de.laʒ
débiteuse|de.bi.tøz
déblayeuse|de.blɛ.jøz
débouillir|de.bu.jiʁ
débourreuse|de.buʁ.ʁøz
débrôler|de.le
décalqueuse|de.kalk.køz
décanoïque|de.kɑ̃.ik
décarottage|de.kaʁ.taʒ
déchronologie|de.lɔ.ʒi
décompteuse|de.kɔ̃t.tøz
décorcer|de.kɔʁ.se
décrasseur|de.sœʁ
décrypteuse|de.tøz
dédoubleuse|de.du.bløz
défens|de.
défoliante|de.fɔ.ljɑ̃t
défragmenteur|de.fʁaɡ.tœʁ
dégluer|de.ɡly.ɡly.e
dégonflarde|de.ɡɔ̃.flaʁd
dégrever|de.ɡʁɛ.ɡʁə.ve
dégrossisseuse|de.ɡʁo.søz
délamination|de.za.sjɔ̃
délinquantielle|de.lɛ̃.sjɛl
délitescente|de.li.sɑ̃t
démarqueuse|de.maʁk.køz
démasquage|de.mas.kaʒ
démucilagination|de.za.sjɔ̃
dénervation|de.za.sjɔ̃
dénicotiniseur|de.ni.ni.zœʁ
déontique|de.ɔ̃.tik
dépariage|de.paʁ.ma.ʁjaʒ
dépelliculage|de.laʒ
dépendeuse|de.døz
déplanification|de.plɑ̃.fi.ka.sjɔ̃
désarçonnante|de.zaʁ.nɑ̃t
désavantageusement|de.za.vɑ̃.taʒ.mɑ̃
désaxement|de.zak.mɑ̃
désenfler|de.zɑ̃.ɑ̃.fle
déserteuse|de.zɛʁt.tøz
déshuilage|de.zy.ɥi.laʒ
déshuntage|de.zy.taʒ
déshydrogénase|de.zi.nɑz
désiliciage|de.zɛ̃.sjaʒ
désinfectrice|de.zɛ̃.fɛk.tʁis
désoxyribonucléoprotéique|de.zɔk.si.pʁɔ.tɛik
détoxifiante|de.tɔk.ɑ̃t
déverbatif|de.vɛʁ.tif
e.ta.zy.njɛn
eV|ɑ̃.ve
ecballium|ljɔm
ectotrophe|ɛk.tɔ.tʁɔf
efflorescente|e.flɔ.ʁe.sɑ̃t
effusivité|ɛ.ti.vi.te
eisangélie|li
elliptocytose|lip.tɔz
elæis|ɛl.
emballagiste|ɑ̃.ba.lɔ.ʒist
embobineuse|ɑ̃.bɔ.bi.nøz
embratteler|ɑ̃.a.tə.le
embryonnée|ɑ̃.bʁi.jɔ̃.ne
embryophagie|ɑ̃.bʁi.lɔ.ʒi
empaqueteuse|ɑ̃.pak.tøz
empathe|ɑ̃.pa.pat
encaissante|ɑ̃.sɑ̃t
encapsulement|ɑ̃.kap.sy.mɑ̃
enceindre|ɑ̃.
encroûtante|ɑ̃.tɑ̃t
enduiseuse|ɑ̃.zøz
engazonneuse|ɑ̃.ɡa.nøz
engrumeler|ɑ̃.le
enguichée|ɑ̃.ʃe
enjaveler|ɑ̃.le
enlacer|ɑ̃.la.se
enleveuse|ɑ̃.vøz
ennealogie|ɑ̃.lɔ.ʒi
enrichir|ɑ̃.ʁi.ʃiʁ
enrubanneuse|ɑ̃.ʁy.nøz
ensellement|ɑ̃.mɑ̃
ensouillement|ɑ̃.mɑ̃
envieusement|ɑ̃.vjøz.mɑ̃
envoûteuse|ɑ̃.tøz
ergastoplasme|ɛʁ.tɔ.plasm
escompteuse|ɛs.kɔ̃t.tøz
espaces-temps|ɛs.pas.tɑ̃
esquintante|ɛs.tɑ̃t
essencière|ɛs.sjɛʁ
essorante|e.sɔʁ.ɔ.ʁɑ̃t
estampeuse|ɛs.tɑ̃p.pøz
estampilleuse|ɛs.tɑ̃.pij.pi.jøz
ethnomédecine|ɛt.nɔ.mɛd.sin
euménide|ø.nid
eupnéique|ø.ne.ik
europhobe|ø.ʁɔ.fɔb
européocentriste|ø.ʁɔ.pe.sɑ̃.tʁist
euryapside|ø.ʁɔ.ap.sid
eurythermie|ø.ʁɔ.tɛʁ.mi
excipée|ɛk.si.pe
exfoliante|ɛks.ljɑ̃t
exogroupe|ɛɡ.zɔ.ɡʁup
exogénéité|ɛɡ.zɔ.li.te
exorcistat|ɛɡ.zɔʁ.ta
exothermicité|ɛɡ.zɔ.li.te
exothermie|ɛɡ.zɔ.tɛʁ.mi
expertes-comptables|ɛk.spɛʁt.tabl
experts-comptables|ɛk.spɛʁ.tabl
expressiste|ɛk.spʁɛs.ɡʁɛ.sist
expropriante|ɛks.pʁi.pʁi.jɑ̃t
extenso|ɛk.stɑ̃.so
extractabilité|ɛks.tʁak.bi.li.te
extremis|ɛk.stʁa.mi
extrovertie|ɛk.stʁa.ti
facto|fak.to
fagacée|fa.se
faisandière|fə.zɑ̃.djɛʁ
faisanneau|fə.zɑ̃.a.no
falsificationnisme|fal.si.fi.ka.sjɔ̃.sjɔ.nism
famennoise|fa.møz.nwaz
familias|fa.mi.ljɑs
farnésol|faʁ.zɔl
fastigiée|fas.ti.ʒje
fauchet|foʃ.ʃɛ
favique|fa.vik
façonneuse|fa.sɔ.nøz
feld-maréchal|fɛld.ʃal
fenwick|fə.
fermenteur|fɛʁm.tœʁ
ferricyanure|fɛ.sja.nyʁ
ferriprive|fɛ.ʁiv
ferrotypie|fɛ.ʁɔ.ti.pi
fettucine|fɛ.sin
feuillardière|fœ.jaʁ.djɛʁ
fiablement|fja.bi.mɑ̃
fibrinolyse|fi.liz
fibrinolytique|fi.li.tik
fibrinémie|fi.mi
fibrocyte|fi.bʁɔ.sit
figuriniste|fi.ɡy.nist
filicophyte|fi.fit
filonienne|fi.lɔ̃.njɛn
fin'amor|fɛ̃.ɔʁ
financiarisme|fi.nɑ̃.ta.ʁism
finitiste|fi.ni.tist
finslérienne|fɛ̃.ʁjɛn
fish-eye|fi.
flingot|flɛ̃.ɡɔ
flognarde|flɔ.ɲaʁd
fluocompacte|fly.o.kɔ̃.pakt
fluofibre|fly.o.fibʁ
flupyrsulfuron|ʁɔ̃
fluxomique|fly.mik
focométrie|fɔ.me.tʁi
focométrique|fɔ.me.tʁik
fontanili|fɔ̃.li
fordienne|fɔʁ.djɛn
fortiori|fɔʁ.ʁi
fouder|fu.de
fourgat|fuʁ.ɡa
foutredieu|futʁ.djø
fractographie|fʁak.ɡʁa.fi
frappologie|fʁa.lɔ.ʒi
free-shop|fʁi.ʃɔp
frisko|fʁi.ko
frousser|fʁu.se
fr|ɛf.te
fréquentiste|fʁe.kɑ̃.tist
fuguée|fy.ɡe
fulvique|fyl.vik
fumariacée|fy.se
funiculite|fy.ni.lit
futurible|fy.ty.ʁibl
fénéthylline|lin
féodalement|fe.ɔ.dal.mɑ̃
févier|fe.vje
gabbroïque|ɡa.bʁo.ik
gadzart|ɡa.aʁ
gaiement|ɡe.mɑ̃
galactane|ɡa.tan
galactosamine|ɡa.lak.a.min
galactosidase|ɡa.lak.daz
galactosémie|ɡa.mi
galamment|ɡal.mɑ̃
galvanoscope|ɡal.va.kɔp
gammaglobuline|ɡa.ma.ɡlɔ.by.lin
gammiste|ɡa.mist
gamétange|ɡa.ɑ̃ʒ
garalde|ɡa.də
garba|ɡaʁ.ba
gardes-malades|ɡaʁ.nad
gargantua|ɡaʁ.y.a
gaspilleuse|ɡas.pi.pi.jøz
gattilier|ɡat.lje
gaufroir|ɡo.fʁwaʁ
gaulthérie|ɡo.ʁi
gayolle|ɡɛ.ʁɔl
gazonnement|ɡɑ.mɑ̃
gaïacol|ɡa.jak.kɔl
gendarmesque|ʒɑ̃.daʁm.mɛsk
gentamicine|ʒɑ̃.sin
gentianée|ʒɑ̃.ti.ne
gentilhommerie|ʒɑ̃.ti.ʁi
genépi|ʒə.pi
gestaltiste|ʒɛs.al.tist
giardia|ʒja.dja
gibbsite|ʒi.sit
gibbule|ʒi.byl
gingivectomie|ʒɛ̃.ʒi.tɔ.mi
gingivorragie|ʒɛ̃.ʒi.lɔ.ʒi
girouettisme|ʒi.tism
glaisière|ɡlɛ.zjɛʁ
glanage|ɡlɑ̃.naʒ
glauquement|ɡlok.mɑ̃
glockenspiel|ɡlɔ.sjɛl
glossette|ɡlɔs.sɛt
glosso-pharyngienne|ɡlɔ.ʒjɛ̃n
glossématique|ɡlɔs.ma.tik
glucanase|ɡly.naz
glucosinolate|ɡly.lat
glycanase|ɡli.kɔ.naz
glycogénolyse|ɡli.kɔ.liz
glycogénose|ɡli.kɔ.ʒe
glycosylée|ɡli.kɔ.le
glyptodonte|ɡlip.to.dɔ̃.dɔ̃t
