abandonnisme|a.bɑ̃.dɔ̃.nism
antinaupathique|ɑ̃.ti.na.no.pa.tik
antiplaquettaire|ɑ̃.ti.plak.ʒi.teʁ
antiproliférative|ɑ̃.ti.pʁɔ.tiv
antiséparatif|ɑ̃.ti.se.tif
antitrypsine|ɑ̃.ti.sin
antébrachiale|ɑ̃.te.bʁa.kjal
anéjaculation|za.sjɔ̃
anérection|a.ne.za.sjɔ̃
aphodius|a.fɔ.jys
apocalyptiquement|a.pɔ.ka.lip.tik.mɑ̃
apocynacée|a.pɔ.se
apoenzyme|a.pɔ.ɑ̃.zim
apolipoprotéine|a.pɔ.pʁɔ.te.in
apoptotique|a.pɔ.tik
apostériorité|a.pɔs.li.te
appropriable|a.pʁɔ.pʁi.abl
appréciablement|a.pʁe.sjabl.mɑ̃
appuie-livres|a.pɥi.withoutA-Z
arachidonique|a.ʁak.nik
aranéomorphe|a.ʁa.mɔʁf
archentéron|aʁʃ.ʁɔ̃
archéozoïque|aʁ.ik
argenteuse|aʁ.ʒɑ̃.tøz
armurée|aʁ.y.ʁe
aromatase|a.ʁɔ.ma.taz
arpigner|aʁ.ne
arsenite|aʁ.sə.nit
articlier|aʁ.ti.lje
artinienne|aʁ.ti.njɛn
asclépiadacée|as.se
ascochyta|as.ta
aspergès|asp.
asphaltène|as.tɛn
assa-fœtida|a.da
assidéenne|a.si.de.ɛn
astralement|as.tʁal.mɑ̃
astéréognosie|as.te.ɡno.zi
atellane|a.lan
athéophobe|a.te.fɔb
athéophobie|a.te.fɔ.bi
atm|at.mɔs
atractyligénine|a.tʁa.nin
atrière|a.ʁjɛʁ
atrophiante|a.tʁɔ.ɑ̃t
atropinique|a.tʁɔ.i.nik
atteloire|a.lwaʁ
attristement|a.mɑ̃
auberon|o.ʁɔ̃
audioguidée|o.djo.de
audiotypiste|o.djo.pist
augustement|o.ɡyst.mɑ̃
autologue|ɔ.to.lɔɡ
autoprotolyse|o.to.pʁɔ.pʁo.to.liz
autopsique|o.tɔp.sik
autos-couchettes|o.to.2
autos-patrouilles|o.to.nuj
autoévaluante|ɔ.to.e.ɑ̃t
autoïque|ɔ.to.ik
auxiliariat|o.ta.ʁja
avalancheuse|a.va.lɑ̃ʃ.ʃøz
averdonaise|a.vɛʁ.ɛz
avipelvien|a.vi.
avirulence|a.vi.ʁy.lɑ̃s
aviveuse|a.vi.vøz
axopode|ak.pɔd
aérenchyme|a.e.ʃim
bacitracine|bak.ʁa.sin
bactériochlorophylle|bak.te.ʁjɔ.klɔ.ʁɔ.fil
bactériocine|bak.te.ʁjɔ.sin
baddeleyite|ba.lit
bafoueuse|ba.køz
baguazhang|ba.
baguiste|ba.ɡist
baha'ie|ba.ʒi
baha'isme|ba.lism
bailecito|baj.to
baligander|ba.de
baloutchi|ba.tʃi
balter|bal.te
balénoptère|bal.tɛʁ
banachique|ba.ʃik
bancheuse|bɑ̃ʃ.ʃøz
banqueteuse|bɑ̃k.tøz
barocepteur|ba.tœʁ
barocline|ba.klin
barogramme|ba.ɡʁam
barotrope|ba.ʁɔ.tʁɔp
barrémienne|ba.mjɛn
baryogenèse|ba.ʒə.nɛz
basochienne|ba.ʃjɛn
batholite|ba.lit
batholithe|ba.lit
batésienne|ba.sjɛn
baxter|ba.te
baylienne|bajl.ljɛn
becquer|bɛ.ke
bedonnement|bə.dɔ̃.mɑ̃
bedonner|bə.dɔ̃.ne
behaviouriste|be.ʁist
bennage|bɛ̃.naʒ
benzaldéhyde|bɛ̃.al.de.id
benzalkonium|bɛ̃.njɔm
benzonitrile|bɛ̃.tʁil
berginisation|bɛʁ.li.za.sjɔ̃
bergsonisme|bɛʁɡ.nism
bessemer|bə.sə.me
beugleuse|bø.ɡløz
beurouette|bœʁ.ʁu.ɛt
bhakti|bu.ti
bharatanatyam|
biangle|bi.ɑ̃ɡl
bibarder|bi.de
bibliologique|bi.bli.lɔ.ʒik
bibliologue|bi.bli.lɔɡ
bibliotechnicienne|bi.bli.jɔ.tɛk.ni.sjɛn
biblio|bi.bli.ljo
bicolorié|bi.ʁje
bidegré|bid.də.ɡʁe
biglouser|bi.ze
bignoniacée|bi.ɲɔl.se
bignonia|bi.ɲɔl.nja
bigrer|bi.ʁe
bigèbre|bi.ʒɛbʁ
biholomorphe|bi.mɔʁf
biholomorphisme|bi.mɔʁ.fism
bijuridisme|bi.dism
bilharziose|bi.oz
biligénie|bi.ʒe.ni
bilirubinémie|bi.mi
billbergia|bil.dʒja
bimesurable|bi.abl
bimodule|bi.mɔ.mo.dyl
binodale|bi.nɔ.dal
biocœnose|bjɔ.noz
biolubrifiant|bjɔ.ly.fjɑ̃
biotrophe|bjɔ.tʁɔf
birationnelle|bi.sjɔ.nɛl
biscottière|bis.tjɛʁ
biseauteuse|bi.zo.tøz
bisimpliciale|sjal
bissexualité|bi.sɛk.li.te
bisulfitique|bi.tik
bivitelline|bi.te.lin
bizuter|bi.zy.te
blaguounette|bla.nɛt
blastopore|blas.pɔʁ
blastoïde|blas.id
bledarde|blɛd.daʁd
bleuetier|blø.ɛ.tje
blindicide|blɛ̃.sid
blottissement|blɔ.mɑ̃
blutiner|bly.ne
bocarder|bɔ.kaʁ.de
bodybuildeuse|bɔ.di.døz
bonifiante|bɔ̃.fjɑ̃t
bordeuse|bɔʁ.døz
bordisme|bɔʁ.dism
bordureuse|bɔʁ.dyʁ.ʁøz
bornologie|bɔ.lɔ.ʒi
borough|bɔʁ.ʁœf
borraginacée|bɔ.se
boskoop|bɔs.
boucholeuse|bu.løz
bouchonnière|bu.ʃɔ̃.njɛʁ
bouddhologue|bu.lɔɡ
bouffir|bu.fi.fiʁ
bouillage|bu.jaʒ
bouillotter|bu.te
bouletée|bu.te
boulonneuse|bu.lɔ̃.nøz
bourgeoisiale|buʁ.ʒwa.sjal
bourrellement|bu.mɑ̃
bourrinage|bu.ʁɛ̃.naʒ
bousculement|bus.ky.mɑ̃
boustifailler|bus.je
boutante|bu.tɑ̃t
boxonner|bɔk.sɔ̃.ne
brachiocéphalique|bʁa.kjo.se.fa.lik
braillante|bʁa.ɑ̃t
branlage|bʁɑ̃.laʒ
braseuse|ze.zøz
bricolable|bʁi.kɔ.abl
brigadeiro|bʁi.ɡad.ʁo
bringuebalement|bʁɛ̃kə.mɑ̃
brinquebalement|bʁɛ̃k.ba.mɑ̃
briocher|bʁi.jo.ʃe
briqueteuse|bʁik.tøz
broadcaster|bʁɔ.te
bronchiectasie|bʁɔ̃.ɛk.ta.zi
bronchioloalvéolaire|bʁɔ̃.al.ve.o.lɛʁ
bronchiteuse|bʁɔ̃.ʃit.tøz
bronchoconstriction|bʁɔ̃.kɔ.za.sjɔ̃
brouilleuse|bʁuj.jøz
brownienne|bʁɔ.njɛn
bruineuse|bʁɥin.nøz
brutisme|bʁy.tism
bréchique|bʁe.ʃik
brélésienne|bʁe.sjɛn
brévétoxine|bʁe.tɔk.sin
bulb-keel|byl.
burgaudine|byʁ.ɡo.din
burineuse|by.ʁɛ̃.nøz
buronnière|by.ʁɔ̃.njɛʁ
burséracée|byʁ.se
buselure|byz.lyʁ
butanal|by.nal
butanée|by.ne
buxacée|by.se
bâtissable|bɑ.sabl
bénéf|be.ne.
bérimbau|be.bo
bêbête|bɛ.bɛt
bûchage|by.ʃaʒ
cP|kɔ̃.
cSt|kɔ̃.mɑ̃
cadenassage|kad.na.saʒ
cadrante|ka.dʁɑ̃.ɑ̃t
caissonnée|kɛ.sɔ̃.ne
calcitriol|kal.tʁjɔl
calcosodique|kal.dik
calière|ka.ljɛʁ
calorescence|kal.sɑ̃s
calvadosienne|kal.va.sjɛn
camarine|ka.ma.ʁin
camionneuse|ka.mjɔ.nøz
camouflante|ka.mu.ɑ̃t
camoufleur|ka.mu.flœʁ
cancérophobie|kɑ̃.se.fɔ.bi
cancéropole|kɑ̃.se.pɔl
cannabinacée|ka.na.se
canyoniste|ka.ɲɔ.nist
caoutchoutière|ka.ut.ʃu.tjɛʁ
capacimètre|kap.mɛtʁ
capacitiste|ka.tist
capillotracter|ka.pi.tʁak.te
caproïque|ka.ik
capsicum|kap.kɔm
caractérologique|ka.ʁak.te.lɔ.ʒik
carbohémoglobine|kaʁ.bɔ.e.mɔ.ɡlɔ.bin
carboxamide|kaʁ.bɔ.a.mid
carburière|kaʁ.by.ʁjɛʁ
carbutamide|kaʁ.by.a.mid
carcinose|kaʁ.si.noz
cardamone|kaʁ.da.mɔn
carfentanyl|kaʁ.be.ʁil
carpettière|kaʁ.tjɛʁ
carreautée|ka.ʁo.te
cartellaire|kaʁ.lɛʁ
carvacrol|kaʁ.ʁɔl
cary|kaʁ.ʁi
casamançaise|ka.ɛz
casquante|kas.ɑ̃t
casquettière|kas.tjɛʁ
castrer|kas.tʁe
catachrétique|ka.ta.tik
cataclysmale|ka.ta.al
catagenèse|ka.ta.ʒə.nɛz
cataméniale|ka.ta.njal
cathepsine|ka.ta.sin
cathodoluminescence|ka.to.ly.mi.ne.sɑ̃s
catégoriale|ka.te.ɡɔ.tɔ.ʁjal
caudine|kaw.din
caveuse|kav.vøz
cd|kɔ̃.
cedrela|sɑ̃.la
cellobiose|se.bjoz
cellophaneuse|se.lɔ.fan.nøz
cellophanée|se.ne
cellulase|sɛ.ly.laz
celtisme|sɛl.tism
centipoise|sɑ̃.pwaz
centromérique|sɑ̃.me.ʁik
centésimale|sɑ̃.mal
cervicite|sɛʁ.vi.sit
cgr|kɔ̃.te
chaabi|ʃa.bi
chafiite|ʃa.it
chaloupement|ʃa.lup.mɑ̃
chamoiseuse|ʃɑ̃.wa.zøz
chancrelle|ʃɑ̃kʁ.ɛl
chanfreineuse|ʃɑ̃.fʁɛ̃.fʁɛ.nøz
chaosienne|ʃa.sjɛn
charlater|ʃaʁ.la.te
chawer|ʃa.vœʁ
chaîneuse|ʃɛn.nøz
check-list|ʃe.list
cheiroptère|ʃɛʁ.tɛʁ
chevau-léger|ʃə.ʒe
chevaucheuse|ʃə.ʃøz
chevillarde|ʃə.jaʁd
chimiolithotrophe|ʃi.mjo.tʁɔf
chiperie|ʃi.pe.ʁi
chitosan|ki.sɑ̃
chloramine|klɔ.a.min
chlorobenzène|klɔ.ʁɔ.bɛ̃.zɛn
chlorpromazine|klɔ.a.zin
choanocyte|kɔ.sit
choisisseuse|ʃwa.søz
cholinestérasique|kɔ.lin.zik
cholécystotomie|kɔ.le.tɔ.mi
chondrichtyen|kɔ̃.jɛn
chondriosome|kɔ̃.zom
chondromatose|kɔ̃.dʁɔ.ma.toz
chorio-épithéliome|kɔ.ʁjɔ̃.te.liom
chorioméningite|kɔ.ʁjɔ̃.me.nɛ̃.ʒit
chorioépithéliome|kɔ.ʁjɔ̃.te.liom
christocentrisme|kʁis.sɑ̃.tʁism
chronaxie|kʁɔ.nɔ.si
chronaxique|kʁɔ.nɔ.sik
chrysanthémique|kʁi.mik
chrysothérapie|kʁi.zɔ.te.ʁa.pi
chutney|ʃy.nɛ
châtelperronienne|ʁɔ.njɛn
chénodésoxycholique|ke.nɔ.lik
cinétisme|si.ne.tism
circalittorale|siʁ.ka.li.tɔ.ʁal
cisailleuse|si.zɑj.jøz
citernière|si.te.njɛʁ
cladocère|kla.sɛʁ
claveleuse|kla.løz
clienter|kli.te
clinopyroxène|klɛ̃.pi.ʁɔk.sɛn
clinozoïsite|klɛ̃.zɔ.i.zit
clivante|kli.ɑ̃t
cliveuse|kli.vøz
clomifène|klɔ.fɛn
clomiphène|klɔ.fɛn
clostridiale|klɔ.djal
clusiacée|se
cléchée|kle.ʃe
cnidocil|kni.sil
cnidocyste|kni.tɔ.sist
cnidosporidie|kni.di
coagglutination|kɔ.a.ɡy.za.sjɔ̃
cocaliser|kɔ.ka.li.ze
cochampionne|kɔ.pjɔn
cochaîne|kɔ.ʃɛn
cocréancière|ko.sjɛʁ
codable|kɔ.da.abl
codéveloppement|kɔ.de.mɑ̃
cogouvernance|nɑ̃s
cohomologique|ko.o.lɔ.ʒik
cokéfiante|kɔ.ke.ɑ̃t
cold-cream|kɔl.37
coliqueuse|kɔ.lik.køz
colitigante|kɔ.ɑ̃t
collaborationnisme|kɔ.la.bɔ.ʁa.sjɔ̃.sjɔ.nism
collagraphie|kɔ.la.ɡʁa.fi
collenchyme|kɔl.ʃim
colossienne|kɔ.sjɛn
colzatière|kɔl.za.tjɛʁ
commettante|kɔ.tɑ̃t
commissurotomie|kɔ.mi.tɔ.mi
commuable|kɔ.abl
communicologue|kɔ.my.ni.lɔɡ
comourant|kɔm.ku.ʁɑ̃
compatir|kɔ̃.pa.tiʁ
complexuelle|kɔ̃.plɛk.ɛl
componctueuse|kɔ̃.po.ɔ̃k.tɥøz
conceptualité|kɔ̃.sɛp.tɥa.li.te
conciliarisme|kɔ̃.si.ta.ʁism
conciliatoire|kɔ̃.si.twaʁ
concordiste|kɔ̃.kɔʁ.kɔʁ.dist
condruzienne|kɔ̃.zjɛn
conductimètre|kɔ̃.dyk.mɛtʁ
conductimétrie|kɔ̃.dyk.me.tʁi
conducto-convective|kɔ̃.dyk.tiv
conduiseuse|kɔ̃.dyk.zøz
confisquer|kɔ̃.ke
conjungo|kɔ̃.ʒy.ɡo
connétablie|kɔ.ne.bli
conobrer|kɔ̃.bʁe
conodale|kɔ̃.nɔ.dal
conormale|kɔ̃.nɔʁ.mal
conoyau|kɔ̃.nwa.jo
constater|kɔ̃s.ta.te
contagieuse|kɔ̃.ta.li.ʒjøz
contenante|kɔ̃t.tə.nɑ̃t
contester|kɔ̃t.te
contextualité|kɔ̃.tɛk.li.te
contractibilité|kɔ̃.tʁak.bi.li.te
contractualiste|kɔ̃.tʁak.list
contragestif|kɔ̃.tif
contraignable|kɔ̃t.nabl
contrebattre|kɔ̃.ʁǝ.batʁ
coobtention|ko.za.sjɔ̃
coqueleuse|kɔk.løz
coralloïde|kɔʁ.id
cornouaillaise|kɔʁ.ɛz
corrigeuse|kɔ.ʁi.ʒøz
corroyeuse|kɔ.ʁwa.jøz
corrélable|kɔ.ʁe.la.abl
corticospinale|kɔʁ.ti.kɔ.spi.nal
cortisonique|kɔʁ.ti.nik
cosolvant|kɔs.sɔl.vɑ̃
cotylédonée|kɔ.ti.le.dɔ̃.ne
court-vêtue|kuʁ.ty
couteauner|ku.to.ne
coutoyer|ku.je
covecteur|kɔ.tœʁ
covelline|kɔ.lin
coésite|kɔ̃.sit
coûtante|kut.tɑ̃t
craniectomie|kʁɑ̃.tɔ.mi
craniopharyngiome|kʁa.njɔ.ʒjɔm
cratonique|kʁa.tɔ̃.nik
criblière|kʁi.ljɛʁ
cristallogenèse|kʁis.ta.lɔ.ʒə.nɛz
crocidolite|kʁo.lit
croisetée|kʁwa.te
croissantière|kʁwa.sɑ̃.tjɛʁ
croissantée|kʁwa.sɑ̃.te
cromoglycate|kʁɔ.kat
croquine|kʁɔ.ki.kin
crossoptérygien|kʁɔs.ʁi.ʒjɛ̃
crotonisation|kʁɔ.tɔ̃.li.za.sjɔ̃
crwth|kʁe.
crédobaptisme|kʁe.ba.tism
créolisme|kʁe.ɔ.lism
créoliste|kʁe.ɔ.list
crépisseuse|kʁe.pi.pi.søz
cucuterie|ky.ʁi
cuiseuse|kɥi.zøz
cuon|ky.ɔ̃
cupressinée|ky.ne
cuscutacée|kys.se
cyclage|si.klaʒ
cyclohexanone|si.klo.a.nɔn
cycloplégie|si.klo.lɔ.ʒi
cyclosporine|si.klo.ʁin
cyclotomie|si.klɔ.tɔ.mi
cyclène|si.lɛn
cyhalothrine|tʁin
cylindraxe|si.lɛ̃.aks
cymrique|sɛ̃.ʁik
cynodonte|si.nɔ.dɔ̃t
cyphoscoliose|si.skɔ.ljoz
cyprotérone|si.ʁɔn
cypéracée|si.se
cystoscopique|sis.tɔs.pik
cystostomie|sis.tɔs.tɔ.mi
cytobactériologique|lɔ.ʒik
cytochrome|si.tɔ.kʁom
cytodiérèse|si.tɔ.dje.ʁɛz
cytosolique|si.tɔ.sɔl.lik
cégotter|se.te
célébrante|se.le.bʁɑ̃t
cémentite|se.mɑ̃.tit
cérébrovasculaire|se.ʁe.vas.ky.lɛʁ
césalpiniacée|se.za.se
cézannienne|ma.njɛn
cœliochirurgie|se.ʃi.ʁyʁ.ʒi
cœlioscope|se.kɔp
cœlioscopique|se.pik
cœlostat|se.ta
cœnesthésie|se.zi
cœurse|kœʁ.
dB|de.
dacryoadénite|da.a.de.nit
dalembertienne|da.tjɛn
dantoniste|dɑ̃.nist
dast|da.st
datographe|da.ɡʁaf
denteleuse|dɑ̃t.løz
dentinome|dɑ̃.nɔm
dermopharmacie|dɛʁ.mɔ.faʁ.ma.si
dermopuncture|dɛʁ.mɔ.tyʁ
desmodontite|dɛs.tit
dessalinisation|dɛ.li.za.sjɔ̃
dessicant|de.si.ka.kɑ̃
deutérocanonique|dø.te.nik
deutéronomique|dø.te.ʁɔ̃.nɔ.mik
dextrinisation|dɛks.li.za.sjɔ̃
dgr|de.te
diacétylmorphine|dja.mɔʁ.fin
diamorphine|dja.mɔʁ.fin
diaphysaire|dja.ɛʁ
diathermie|dja.tɛʁ.mi
diathermique|dja.tɛʁ.mik
diazane|dja.zan
diazoïque|dja.zɔ.ik
diazène|dja.zɛn
dibasique|di.zik
dicentra|di.tʁa
didot|di.dɔt
diffractogramme|di.fʁak.tɔ.ɡʁam
digipuncture|di.ʒi.tyʁ
dimissoriale|di.mi.tɔ.ʁjal
diméthylaniline|di.a.ni.lin
diméthylmercure|di.mɛʁ.kyʁ
dinitration|di.za.sjɔ̃
dinitrile|di.tʁil
dinoflagellé|di.nɔ.le
diodique|di.dik
dione|djɔ.fɔn
diphonique|di.fɔs.nik
dipneumonée|dip.ne
dipsacée|di.se
discompteuse|dis.kɔ̃t.kɔ̃.tøz
discounteur|dis.kunt.tœʁ
discuputer|dis.ky.te
disilane|dis.si.lan
dismutase|dis.staz
disodique|dis.dik
dispatcheuse|dis.pa.ʃøz
dispersante|dis.pɛʁ.ɑ̃t
dispersive|dis.pɛʁ.siv
disubstituée|dis.tɥe
dittographie|di.ɡʁa.fi
divulguable|di.vyl.abl
diédrale|dje.dʁal
djibser|dʒi.ze
dodécylsulfate|dɔ.de.ka.syl.fat
dominotée|mi.te
dordognaise|dɔʁ.ɛz
doucir|du.du.siʁ
doudouisme|du.du.dwism
doxorubicine|dɔk.sɔ.sin
doxycycline|dɔk.si.klin
dragline|dʁaɡ.lin
dragéiste|dʁa.ist
droitosphère|dʁwa.sfɛʁ
dry-farming|dʁi.miŋ
dysacromélie|dis.li
dysboulique|dis.ba.lik
dysendocrinie|di.ni
dysleptique|dis.lɛk.tik
dysmorphophobique|dis.mɔʁ.fo.bik
dysorexie|dis.ʁɛk.si
dysrythmie|dis.ʁit.mi
dystrophine|dis.tʁɔ.fin
déactiver|de.ɑ̃.by.ti.ve
débandage|de.bɑ̃.daʒ
débarrasseuse|de.ba.søz
débenzolage|de.laʒ
débiteuse|de.bi.tøz
déblayeuse|de.blɛ.jøz
déblocable|de.blɔ.abl
débouillir|de.bu.jiʁ
débourbeur|de.buʁ.bœʁ
débourreuse|de.buʁ.ʁøz
débrôler|de.le
décalqueuse|de.kalk.køz
décanoïque|de.kɑ̃.ik
décarottage|de.kaʁ.taʒ
déchevelante|de.ɑ̃t
déchronologie|de.lɔ.ʒi
décivilisation|de.si.li.za.sjɔ̃
décompteuse|de.kɔ̃t.tøz
décorcer|de.kɔʁ.se
découpable|de.ku.abl
décrasseur|de.sœʁ
décrypteuse|de.tøz
décuivrage|de.ʁaʒ
dédoubleuse|de.du.bløz
déflocage|de.flɔ.kaʒ
défoliante|de.fɔ.ljɑ̃t
défragmenteur|de.fʁaɡ.tœʁ
dégivrante|de.ʒi.ɑ̃t
dégluer|de.ɡly.ɡly.e
dégonflarde|de.ɡɔ̃.flaʁd
dégravelante|de.ɡʁa.ɑ̃t
dégression|de.ɡʁɛ.sjɔ̃
dégrever|de.ɡʁɛ.ɡʁə.ve
dégrossisseuse|de.ɡʁo.søz
déjecter|de.ʒɛk.te
délamination|de.za.sjɔ̃
délinquantielle|de.lɛ̃.sjɛl
délitescente|de.li.sɑ̃t
déluter|de.te
démarchandisation|de.maʁ.li.za.sjɔ̃
démarqueuse|de.maʁk.køz
démasquable|de.mas.abl
démasquage|de.mas.kaʒ
démucilagination|de.za.sjɔ̃
démutualisation|de.my.li.za.sjɔ̃
dénervation|de.za.sjɔ̃
dénicotiniseur|de.ni.ni.zœʁ
dénigrer|de.ni.ʁe
déontique|de.ɔ̃.tɔ.tik
dépariage|de.paʁ.ʁjaʒ
dépeigner|de.ne
dépelliculage|de.laʒ
dépelotonner|de.ne
dépendeuse|de.døz
déplanification|de.plɑ̃.za.sjɔ̃
dépolluante|de.pɔ.ɑ̃t
dépoussiérante|de.pu.sje.ɑ̃t
déprimogène|de.pʁi.ʒɛn
désagrégeante|de.za.ɡʁe.ɑ̃t
désambiguïsatrice|de.zɑ̃.tʁis
désaméricanisation|de.za.li.za.sjɔ̃
désarçonnante|de.zaʁ.nɑ̃t
désaxement|de.zak.mɑ̃
désenfler|de.zɑ̃.ɑ̃.fle
déserteuse|de.zɛʁt.tøz
désherbante|de.zɛʁ.ɑ̃t
déshuilage|de.zy.ɥi.laʒ
déshuntage|de.zy.taʒ
déshydrogénase|de.zi.nɑz
désiliciage|de.zɛ̃.sjaʒ
désinfectrice|de.zɛ̃.fɛk.tʁis
désingularisation|de.zɛ̃.li.za.sjɔ̃
désoxyribonucléase|de.zɔk.si.ʁi.bo.ny.kle.az
désoxyribonucléoprotéique|de.zɔk.pʁɔ.tɛik
déspiritualisation|de.li.za.sjɔ̃
déstressante|de.ɑ̃t
désyndicalisation|de.sɛ̃.li.za.sjɔ̃
détartrante|de.taʁ.ɑ̃t
détoxifiante|de.tɔk.si.fjɑ̃t
déverbatif|de.vɛʁ.tif
dévésiculeur|de.lœʁ
eV|ɑ̃.ve
ecballium|ljɔm
ectotrophe|ɛk.tɔ.tʁɔf
efflorescente|e.flɔ.ʁe.sɑ̃t
effractive|e.tiv
effusivité|ɛ.li.te
eisangélie|li
elliptocytose|lip.tɔz
elæis|ɛl.
emballagiste|ɑ̃.ba.lɔ.ʒist
embobineuse|ɑ̃.bɔ.bi.nøz
embratteler|ɑ̃.a.tə.le
embryonnée|ɑ̃.bʁi.jɔ̃.ne
embryophagie|ɑ̃.bʁi.lɔ.ʒi
empaqueteuse|ɑ̃.pak.tøz
empathe|ɑ̃.pa.pat
encaissante|ɑ̃.sɑ̃t
encapsulement|ɑ̃.kap.sy.mɑ̃
enceindre|ɑ̃.
encenser|ɑ̃.sɑ̃.ze
enchausser|ɑ̃.se
encliquetable|ɑ̃.kli.tɑbl
encroûtante|ɑ̃.tɑ̃t
encéphalomyélite|ɑ̃.se.fa.mje.lit
endolocalisation|ɑ̃.dɔ.li.za.sjɔ̃
endophasie|ɑ̃.dɔ.zi
endoénergétique|ɑ̃.dɔ.e.nɛʁ.ʒe.tik
enduiseuse|ɑ̃.zøz
engazonneuse|ɑ̃.ɡa.nøz
engouiller|ɑ̃.je
engrumeler|ɑ̃.le
enguichée|ɑ̃.ʃe
enjaveler|ɑ̃.le
enlacer|ɑ̃.la.se
enleveuse|ɑ̃.vøz
ennealogie|ɑ̃.lɔ.ʒi
enrichir|ɑ̃.ʁi.ʃiʁ
enroulable|ɑ̃.abl
